observation_date,WGS3MO
2005-01-07,2.32
2005-01-14,2.35
2005-01-21,2.37
2005-01-28,2.41
2005-02-04,2.50
2005-02-11,2.51
2005-02-18,2.59
2005-02-25,2.69
2005-03-04,2.75
2005-03-11,2.76
2005-03-18,2.80
2005-03-25,2.85
2005-04-01,2.82
2005-04-08,2.78
2005-04-15,2.77
2005-04-22,2.90
2005-04-29,2.90
2005-05-06,2.88
2005-05-13,2.88
2005-05-20,2.88
2005-05-27,2.95
2005-06-03,2.99
2005-06-10,3.01
2005-06-17,3.00
2005-06-24,3.05
2005-07-01,3.14
2005-07-08,3.18
2005-07-15,3.22
2005-07-22,3.33
2005-07-29,3.42
2005-08-05,3.48
2005-08-12,3.52
2005-08-19,3.52
2005-08-26,3.54
2005-09-02,3.51
2005-09-09,3.50
2005-09-16,3.47
2005-09-23,3.51
2005-09-30,3.51
2005-10-07,3.61
2005-10-14,3.74
2005-10-21,3.86
2005-10-28,3.91
2005-11-04,3.96
2005-11-11,3.97
2005-11-18,4.01
2005-11-25,3.96
2005-12-02,3.97
2005-12-09,4.00
2005-12-16,3.91
2005-12-23,3.97
2005-12-30,4.01
2006-01-06,4.19
2006-01-13,4.29
2006-01-20,4.36
2006-01-27,4.42
2006-02-03,4.48
2006-02-10,4.50
2006-02-17,4.55
2006-02-24,4.58
2006-03-03,4.62
2006-03-10,4.60
2006-03-17,4.62
2006-03-24,4.67
2006-03-31,4.63
2006-04-07,4.68
2006-04-14,4.70
2006-04-21,4.73
2006-04-28,4.78
2006-05-05,4.82
2006-05-12,4.86
2006-05-19,4.83
2006-05-26,4.83
2006-06-02,4.84
2006-06-09,4.86
2006-06-16,4.89
2006-06-23,4.93
2006-06-30,5.02
2006-07-07,5.03
2006-07-14,5.06
2006-07-21,5.11
2006-07-28,5.10
2006-08-04,5.10
2006-08-11,5.08
2006-08-18,5.10
2006-08-25,5.10
2006-09-01,5.06
2006-09-08,4.97
2006-09-15,4.93
2006-09-22,4.93
2006-09-29,4.88
2006-10-06,4.92
2006-10-13,5.03
2006-10-20,5.09
2006-10-27,5.12
2006-11-03,5.08
2006-11-10,5.09
2006-11-17,5.09
2006-11-24,5.06
2006-12-01,5.04
2006-12-08,4.99
2006-12-15,4.93
2006-12-22,4.97
2006-12-29,5.00
2007-01-05,5.05
2007-01-12,5.09
2007-01-19,5.12
2007-01-26,5.13
2007-02-02,5.13
2007-02-09,5.15
2007-02-16,5.17
2007-02-23,5.19
2007-03-02,5.15
2007-03-09,5.11
2007-03-16,5.07
2007-03-23,5.06
2007-03-30,5.06
2007-04-06,5.05
2007-04-13,5.03
2007-04-20,5.00
2007-04-27,4.97
2007-05-04,4.90
2007-05-11,4.88
2007-05-18,4.82
2007-05-25,4.90
2007-06-01,4.82
2007-06-08,4.80
2007-06-15,4.66
2007-06-22,4.69
2007-06-29,4.80
2007-07-06,4.95
2007-07-13,4.96
2007-07-20,4.97
2007-07-27,4.96
2007-08-03,4.91
2007-08-10,4.83
2007-08-17,4.23
2007-08-24,3.70
2007-08-31,4.17
2007-09-07,4.30
2007-09-14,4.04
2007-09-21,3.92
2007-09-28,3.78
2007-10-05,3.96
2007-10-12,4.11
2007-10-19,4.04
2007-10-26,3.95
2007-11-02,3.87
2007-11-09,3.52
2007-11-16,3.40
2007-11-23,3.24
2007-11-30,3.10
2007-12-07,3.08
2007-12-14,2.92
2007-12-21,2.99
2007-12-28,3.25
2008-01-04,3.27
2008-01-11,3.21
2008-01-18,3.09
2008-01-25,2.31
2008-02-01,2.18
2008-02-08,2.19
2008-02-15,2.28
2008-02-22,2.23
2008-02-29,2.01
2008-03-07,1.55
2008-03-14,1.37
2008-03-21,0.82
2008-03-28,1.29
2008-04-04,1.39
2008-04-11,1.33
2008-04-18,1.18
2008-04-25,1.29
2008-05-02,1.45
2008-05-09,1.64
2008-05-16,1.82
2008-05-23,1.85
2008-05-30,1.89
2008-06-06,1.85
2008-06-13,1.97
2008-06-20,1.95
2008-06-27,1.79
2008-07-04,1.86
2008-07-11,1.77
2008-07-18,1.44
2008-07-25,1.60
2008-08-01,1.70
2008-08-08,1.70
2008-08-15,1.86
2008-08-22,1.75
2008-08-29,1.72
2008-09-05,1.70
2008-09-12,1.62
2008-09-19,0.62
2008-09-26,0.84
2008-10-03,0.77
2008-10-10,0.58
2008-10-17,0.46
2008-10-24,1.05
2008-10-31,0.62
2008-11-07,0.40
2008-11-14,0.21
2008-11-21,0.07
2008-11-28,0.07
2008-12-05,0.04
2008-12-12,0.02
2008-12-19,0.03
2008-12-26,0.02
2009-01-02,0.09
2009-01-09,0.11
2009-01-16,0.12
2009-01-23,0.11
2009-01-30,0.19
2009-02-06,0.29
2009-02-13,0.30
2009-02-20,0.30
2009-02-27,0.29
2009-03-06,0.24
2009-03-13,0.22
2009-03-20,0.22
2009-03-27,0.18
2009-04-03,0.21
2009-04-10,0.19
2009-04-17,0.15
2009-04-24,0.13
2009-05-01,0.13
2009-05-08,0.19
2009-05-15,0.18
2009-05-22,0.18
2009-05-29,0.16
2009-06-05,0.15
2009-06-12,0.19
2009-06-19,0.18
2009-06-26,0.19
2009-07-03,0.18
2009-07-10,0.19
2009-07-17,0.18
2009-07-24,0.19
2009-07-31,0.19
2009-08-07,0.18
2009-08-14,0.18
2009-08-21,0.17
2009-08-28,0.16
2009-09-04,0.14
2009-09-11,0.14
2009-09-18,0.11
2009-09-25,0.11
2009-10-02,0.12
2009-10-09,0.08
2009-10-16,0.07
2009-10-23,0.07
2009-10-30,0.07
2009-11-06,0.05
2009-11-13,0.07
2009-11-20,0.04
2009-11-27,0.05
2009-12-04,0.06
2009-12-11,0.03
2009-12-18,0.04
2009-12-25,0.07
2010-01-01,0.08
2010-01-08,0.06
2010-01-15,0.05
2010-01-22,0.06
2010-01-29,0.07
2010-02-05,0.10
2010-02-12,0.11
2010-02-19,0.10
2010-02-26,0.12
2010-03-05,0.14
2010-03-12,0.16
2010-03-19,0.16
2010-03-26,0.14
2010-04-02,0.16
2010-04-09,0.17
2010-04-16,0.16
2010-04-23,0.16
2010-04-30,0.16
2010-05-07,0.14
2010-05-14,0.16
2010-05-21,0.17
2010-05-28,0.17
2010-06-04,0.15
2010-06-11,0.10
2010-06-18,0.09
2010-06-25,0.13
2010-07-02,0.17
2010-07-09,0.16
2010-07-16,0.15
2010-07-23,0.16
2010-07-30,0.15
2010-08-06,0.16
2010-08-13,0.15
2010-08-20,0.16
2010-08-27,0.16
2010-09-03,0.14
2010-09-10,0.14
2010-09-17,0.15
2010-09-24,0.16
2010-10-01,0.16
2010-10-08,0.13
2010-10-15,0.14
2010-10-22,0.14
2010-10-29,0.13
2010-11-05,0.13
2010-11-12,0.13
2010-11-19,0.14
2010-11-26,0.16
2010-12-03,0.16
2010-12-10,0.14
2010-12-17,0.14
2010-12-24,0.14
2010-12-31,0.14
2011-01-07,0.14
2011-01-14,0.15
2011-01-21,0.16
2011-01-28,0.16
2011-02-04,0.15
2011-02-11,0.14
2011-02-18,0.11
2011-02-25,0.13
2011-03-04,0.13
2011-03-11,0.10
2011-03-18,0.09
2011-03-25,0.09
2011-04-01,0.09
2011-04-08,0.05
2011-04-15,0.06
2011-04-22,0.06
2011-04-29,0.06
2011-05-06,0.03
2011-05-13,0.03
2011-05-20,0.05
2011-05-27,0.06
2011-06-03,0.05
2011-06-10,0.05
2011-06-17,0.05
2011-06-24,0.02
2011-07-01,0.02
2011-07-08,0.02
2011-07-15,0.02
2011-07-22,0.03
2011-07-29,0.07
2011-08-05,0.04
2011-08-12,0.03
2011-08-19,0.02
2011-08-26,0.01
2011-09-02,0.02
2011-09-09,0.02
2011-09-16,0.01
2011-09-23,0.01
2011-09-30,0.02
2011-10-07,0.01
2011-10-14,0.02
2011-10-21,0.03
2011-10-28,0.02
2011-11-04,0.01
2011-11-11,0.01
2011-11-18,0.01
2011-11-25,0.02
2011-12-02,0.02
2011-12-09,0.01
2011-12-16,0.01
2011-12-23,0.01
2011-12-30,0.02
2012-01-06,0.02
2012-01-13,0.02
2012-01-20,0.04
2012-01-27,0.05
2012-02-03,0.07
2012-02-10,0.09
2012-02-17,0.11
2012-02-24,0.09
2012-03-02,0.09
2012-03-09,0.08
2012-03-16,0.09
2012-03-23,0.09
2012-03-30,0.08
2012-04-06,0.08
2012-04-13,0.09
2012-04-20,0.08
2012-04-27,0.09
2012-05-04,0.09
2012-05-11,0.10
2012-05-18,0.09
2012-05-25,0.09
2012-06-01,0.08
2012-06-08,0.09
2012-06-15,0.10
2012-06-22,0.09
2012-06-29,0.09
2012-07-06,0.09
2012-07-13,0.10
2012-07-20,0.09
2012-07-27,0.10
2012-08-03,0.10
2012-08-10,0.11
2012-08-17,0.10
2012-08-24,0.11
2012-08-31,0.10
2012-09-07,0.11
2012-09-14,0.10
2012-09-21,0.11
2012-09-28,0.10
2012-10-05,0.10
2012-10-12,0.10
2012-10-19,0.10
2012-10-26,0.11
2012-11-02,0.11
2012-11-09,0.10
2012-11-16,0.09
2012-11-23,0.09
2012-11-30,0.09
2012-12-07,0.10
2012-12-14,0.07
2012-12-21,0.06
2012-12-28,0.06
